Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
422,6.29,3963.0,,14.38,17466.0,,4.31,6602.0
423,6.05,3963.0,,14.63,6735.0,,5.59,6602.0
424,10.0,3963.0,,14.46,6735.0,,4.08,6601.0
425,6.49,3963.0,,14.4,6734.0,,1012.85,6601.0
426,6.19,3963.0,,14.46,6735.0,,1013.03,6602.0
427,6.69,3963.0,,21.89,6735.0,,4.77,6601.0
428,1005.94,3963.0,,19.52,6735.0,,4.63,6602.0
429,5.88,3963.0,,15.07,6735.0,,4.31,16204.0
430,6.36,3963.0,,15.53,6735.0,,5.2,6602.0
431,6.39,6664.0,,15.0,6735.0,,4.82,6601.0
