Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
142,1070.36,626.0,1885.0,2511.0,,27.71,1165.0,5013.0,6178.0,,9.03,412.0,4747.0,5159.0
143,226.82,2163.0,775.0,2938.0,,27.62,412.0,5013.0,5425.0,,624.78,3708.0,2202.0,5910.0
144,1035.03,420.0,1885.0,2305.0,,27.24,412.0,5013.0,5425.0,,1245.41,692.0,3299.0,3991.0
145,19.32,412.0,1884.0,2296.0,,27.54,412.0,5012.0,5424.0,,8.97,412.0,4747.0,5159.0
146,1045.11,560.0,1883.0,2443.0,,32.45,2004.0,2335.0,4339.0,,8.95,412.0,4746.0,5158.0
147,224.14,412.0,1885.0,2297.0,,236.31,478.0,3565.0,4043.0,,3078.81,560.0,3298.0,3858.0
148,19.17,412.0,1884.0,2296.0,,1089.39,626.0,3565.0,4191.0,,10.55,412.0,4746.0,5158.0
149,19.55,412.0,1885.0,2297.0,,1077.26,552.0,3565.0,4117.0,,8.81,412.0,4746.0,5158.0
150,22.81,412.0,1885.0,2297.0,,233.16,478.0,3565.0,4043.0,,12.89,3720.0,2202.0,5922.0
151,18.62,412.0,1885.0,2297.0,,41.38,2004.0,2335.0,4339.0,,8.82,412.0,4745.0,5157.0
152,220.6,412.0,1885.0,2297.0,,27.43,412.0,5013.0,5425.0,,1253.72,552.0,3299.0,3851.0
153,24.59,346.0,1885.0,2231.0,,27.33,412.0,5013.0,5425.0,,8.91,412.0,4746.0,5158.0
154,222.02,2228.0,775.0,3003.0,,1083.47,692.0,3565.0,4257.0,,9.98,412.0,4747.0,5159.0
155,18.4,412.0,1885.0,2297.0,,27.34,412.0,5012.0,5424.0,,9.09,412.0,4747.0,5159.0
156,18.98,412.0,1884.0,2296.0,,1450.07,626.0,3564.0,4190.0,,2096.77,552.0,3299.0,3851.0
157,1043.11,626.0,1883.0,2509.0,,27.26,1165.0,5012.0,6177.0,,9.14,412.0,4746.0,5158.0
158,26.34,412.0,1885.0,2297.0,,30.43,2679.0,2335.0,5014.0,,9.05,412.0,4747.0,5159.0
159,26.8,412.0,1884.0,2296.0,,27.17,412.0,5011.0,5423.0,,9.22,346.0,4747.0,5093.0
160,228.9,412.0,1884.0,2296.0,,27.2,412.0,5012.0,5424.0,,9.5,412.0,4747.0,5159.0
161,1068.69,626.0,1885.0,2511.0,,1087.34,552.0,3564.0,4116.0,,1258.86,704.0,2202.0,2906.0
162,17.81,412.0,1885.0,2297.0,,29.5,412.0,5012.0,5424.0,,1477.72,2152.0,2202.0,4354.0
163,18.14,346.0,1884.0,2230.0,,28.54,412.0,5012.0,5424.0,,8.98,412.0,4746.0,5158.0
164,18.12,412.0,1885.0,2297.0,,28.3,412.0,5012.0,5424.0,,8.87,412.0,4747.0,5159.0
165,18.47,412.0,1885.0,2297.0,,29.4,412.0,5013.0,5425.0,,12.55,2004.0,2202.0,4206.0
166,18.36,412.0,1885.0,2297.0,,1249.51,638.0,2335.0,2973.0,,1048.97,692.0,3299.0,3991.0
167,224.04,412.0,1883.0,2295.0,,1269.19,552.0,3564.0,4116.0,,8.7,412.0,4747.0,5159.0
168,1027.2,486.0,1885.0,2371.0,,27.59,1165.0,5012.0,6177.0,,10.4,412.0,4747.0,5159.0
169,1071.18,626.0,1885.0,2511.0,,28.96,412.0,5013.0,5425.0,,10.85,1032.0,4746.0,5778.0
170,18.43,412.0,1885.0,2297.0,,27.38,1087.0,5012.0,6099.0,,8.97,412.0,4747.0,5159.0
171,19.39,412.0,1885.0,2297.0,,1075.34,486.0,3564.0,4050.0,,12.53,2004.0,2202.0,4206.0
172,19.67,412.0,1885.0,2297.0,,29.81,1087.0,5013.0,6100.0,,8.7,346.0,4747.0,5093.0
173,18.84,412.0,1883.0,2295.0,,27.66,412.0,5012.0,5424.0,,10.45,412.0,4747.0,5159.0
174,18.55,412.0,1885.0,2297.0,,27.45,412.0,5013.0,5425.0,,1060.12,692.0,3299.0,3991.0
175,1056.52,420.0,1883.0,2303.0,,29.35,1087.0,5012.0,6099.0,,1013.27,692.0,3299.0,3991.0
176,18.62,412.0,1885.0,2297.0,,28.61,412.0,5013.0,5425.0,,12.85,2004.0,2202.0,4206.0
177,18.17,412.0,1885.0,2297.0,,1070.33,692.0,3564.0,4256.0,,1054.32,552.0,3298.0,3850.0
178,18.49,412.0,1884.0,2296.0,,1074.77,692.0,3564.0,4256.0,,9.22,412.0,4747.0,5159.0
179,18.61,412.0,1884.0,2296.0,,32.85,412.0,5012.0,5424.0,,10.2,412.0,4746.0,5158.0
180,18.1,346.0,1883.0,2229.0,,34.87,412.0,5011.0,5423.0,,10.63,412.0,4747.0,5159.0
181,1061.79,626.0,1884.0,2510.0,,27.84,412.0,5012.0,5424.0,,9.18,412.0,4747.0,5159.0
182,20.3,412.0,1884.0,2296.0,,29.27,412.0,5012.0,5424.0,,218.3,2004.0,2202.0,4206.0
183,430.25,1604.0,1885.0,3489.0,,29.08,412.0,5013.0,5425.0,,8.96,412.0,4746.0,5158.0
