Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
140,9.11,412.0,1704.0,2116.0,,3078.76,634.0,1623.0,2257.0,,1030.82,552.0,4033.0,4585.0,,6.46,412.0,3886.0,4298.0,,8.45,2004.0,1818.0,3822.0
141,9.09,412.0,1704.0,2116.0,,5.48,412.0,1622.0,2034.0,,15.87,412.0,3967.0,4379.0,,6.89,412.0,3886.0,4298.0,,1027.02,552.0,3840.0,4392.0
142,8.77,412.0,1703.0,2115.0,,5.53,346.0,1622.0,1968.0,,17.39,412.0,3968.0,4380.0,,6.67,412.0,3886.0,4298.0,,211.29,478.0,3841.0,4319.0
143,1221.52,626.0,1705.0,2331.0,,5.48,412.0,1623.0,2035.0,,19.75,2004.0,1915.0,3919.0,,6.56,412.0,3885.0,4297.0,,4.97,412.0,3774.0,4186.0
144,1065.57,560.0,1704.0,2264.0,,5.87,412.0,1623.0,2035.0,,15.88,412.0,3967.0,4379.0,,7.53,412.0,3887.0,4299.0,,8.7,2004.0,1818.0,3822.0
145,8.69,412.0,1704.0,2116.0,,5.5,412.0,1623.0,2035.0,,15.67,412.0,3967.0,4379.0,,6.76,412.0,3885.0,4297.0,,1219.34,692.0,3839.0,4531.0
146,1693.72,3168.0,739.0,3907.0,,5.36,412.0,1623.0,2035.0,,15.86,745.0,3967.0,4712.0,,6.83,412.0,3887.0,4299.0,,5.26,412.0,3774.0,4186.0
147,8.82,412.0,1704.0,2116.0,,1456.03,626.0,1623.0,2249.0,,19.87,2004.0,1915.0,3919.0,,1686.56,552.0,3953.0,4505.0,,1045.86,692.0,3839.0,4531.0
148,8.69,412.0,1704.0,2116.0,,213.68,1966.0,698.0,2664.0,,2505.55,2152.0,1915.0,4067.0,,8.29,412.0,3885.0,4297.0,,5.66,412.0,3773.0,4185.0
149,214.62,412.0,1704.0,2116.0,,9.63,412.0,1622.0,2034.0,,16.41,412.0,3969.0,4381.0,,6.74,412.0,3886.0,4298.0,,10.31,2004.0,1818.0,3822.0
150,1074.22,626.0,1704.0,2330.0,,208.23,412.0,1621.0,2033.0,,1838.6,692.0,4033.0,4725.0,,12.13,2004.0,1874.0,3878.0,,2062.84,626.0,3841.0,4467.0
151,1011.66,626.0,1704.0,2330.0,,5.55,412.0,1622.0,2034.0,,16.2,667.0,3967.0,4634.0,,7.1,412.0,3885.0,4297.0,,4.92,412.0,3775.0,4187.0
152,10.28,346.0,1704.0,2050.0,,2031.31,560.0,1622.0,2182.0,,1061.13,692.0,4033.0,4725.0,,6.72,412.0,3887.0,4299.0,,5.04,412.0,3774.0,4186.0
153,8.96,412.0,1703.0,2115.0,,5.5,412.0,1622.0,2034.0,,19.82,412.0,3967.0,4379.0,,6.92,346.0,3885.0,4231.0,,4.89,346.0,3775.0,4121.0
154,8.62,346.0,1704.0,2050.0,,5.57,412.0,1622.0,2034.0,,17.85,745.0,3969.0,4714.0,,1460.61,552.0,3952.0,4504.0,,4.96,412.0,3775.0,4187.0
155,8.93,412.0,1704.0,2116.0,,5.47,412.0,1623.0,2035.0,,17.54,412.0,3969.0,4381.0,,6.69,412.0,3886.0,4298.0,,4.92,412.0,3774.0,4186.0
156,9.52,412.0,1704.0,2116.0,,6.07,346.0,1623.0,1969.0,,16.13,412.0,3969.0,4381.0,,6.8,412.0,3885.0,4297.0,,1269.22,626.0,3840.0,4466.0
157,8.7,412.0,1703.0,2115.0,,208.35,412.0,1622.0,2034.0,,16.18,412.0,3969.0,4381.0,,6.6,412.0,3886.0,4298.0,,4.86,412.0,3773.0,4185.0
158,8.76,412.0,1704.0,2116.0,,7.25,412.0,1622.0,2034.0,,17.42,745.0,3968.0,4713.0,,6.41,412.0,3885.0,4297.0,,4.67,412.0,3774.0,4186.0
159,8.74,412.0,1704.0,2116.0,,7.08,412.0,1621.0,2033.0,,17.74,412.0,3968.0,4380.0,,1043.17,552.0,3952.0,4504.0,,1240.52,2012.0,1818.0,3830.0
160,8.76,412.0,1704.0,2116.0,,4595.47,626.0,1622.0,2248.0,,1063.67,486.0,4034.0,4520.0,,6.83,412.0,3887.0,4299.0,,212.42,478.0,3840.0,4318.0
161,8.57,412.0,1704.0,2116.0,,5.66,412.0,1623.0,2035.0,,229.53,2004.0,1915.0,3919.0,,6.64,412.0,3886.0,4298.0,,213.72,2004.0,1818.0,3822.0
162,8.6,412.0,1703.0,2115.0,,214.58,1965.0,698.0,2663.0,,16.36,412.0,3967.0,4379.0,,6.58,346.0,3887.0,4233.0,,5.32,412.0,3773.0,4185.0
163,8.59,412.0,1704.0,2116.0,,5.45,346.0,1622.0,1968.0,,15.89,412.0,3968.0,4380.0,,6.66,412.0,3887.0,4299.0,,8.94,2004.0,1818.0,3822.0
164,8.57,412.0,1704.0,2116.0,,5.6,412.0,1622.0,2034.0,,16.73,412.0,3968.0,4380.0,,6.51,412.0,3885.0,4297.0,,5.42,412.0,3775.0,4187.0
165,424.29,412.0,1704.0,2116.0,,7.5,412.0,1623.0,2035.0,,15.71,412.0,3969.0,4381.0,,6.49,412.0,3886.0,4298.0,,3120.16,478.0,3839.0,4317.0
166,9.17,412.0,1704.0,2116.0,,5.47,412.0,1623.0,2035.0,,16.75,745.0,3967.0,4712.0,,6.6,412.0,3886.0,4298.0,,1014.84,692.0,3840.0,4532.0
167,217.05,2047.0,739.0,2786.0,,1225.28,626.0,1622.0,2248.0,,15.8,412.0,3968.0,4380.0,,6.58,412.0,3886.0,4298.0,,4.73,412.0,3773.0,4185.0
168,11.09,412.0,1703.0,2115.0,,1268.9,486.0,1621.0,2107.0,,15.57,412.0,3968.0,4380.0,,6.49,412.0,3886.0,4298.0,,1063.56,692.0,3840.0,4532.0
