Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
69,8.68,412.0,1704.0,2116.0,,6.05,412.0,1621.0,2033.0,,15.93,412.0,3968.0,4380.0,,7.72,412.0,3886.0,4298.0,,8.81,2004.0,2326.0,4330.0
70,8.87,412.0,1703.0,2115.0,,6.38,412.0,1623.0,2035.0,,15.92,412.0,3967.0,4379.0,,1040.28,692.0,3952.0,4644.0,,5.3,412.0,3773.0,4185.0
71,9.92,412.0,1705.0,2117.0,,7.37,412.0,1622.0,2034.0,,16.3,412.0,3967.0,4379.0,,10.26,412.0,3886.0,4298.0,,5.02,412.0,3773.0,4185.0
72,8.71,412.0,1703.0,2115.0,,5.79,412.0,1621.0,2033.0,,16.7,412.0,3967.0,4379.0,,217.26,2859.0,1874.0,4733.0,,5.3,412.0,3774.0,4186.0
73,8.71,346.0,1705.0,2051.0,,209.59,1042.0,1622.0,2664.0,,18.27,412.0,3967.0,4379.0,,6.51,412.0,3887.0,4299.0,,8.93,2004.0,2325.0,4329.0
74,9.84,412.0,1705.0,2117.0,,5.67,412.0,1622.0,2034.0,,16.65,412.0,3968.0,4380.0,,6.63,346.0,3887.0,4233.0,,5.39,412.0,3774.0,4186.0
75,1457.14,626.0,1703.0,2329.0,,7.12,412.0,1621.0,2033.0,,19.49,2337.0,2521.0,4858.0,,6.53,412.0,3886.0,4298.0,,6.14,412.0,3773.0,4185.0
76,10.07,412.0,1704.0,2116.0,,5.5,412.0,1622.0,2034.0,,18.48,412.0,3969.0,4381.0,,1030.97,692.0,3953.0,4645.0,,5.15,412.0,3775.0,4187.0
77,8.8,412.0,1704.0,2116.0,,5.74,412.0,1622.0,2034.0,,17.27,412.0,3967.0,4379.0,,7.03,412.0,3886.0,4298.0,,5.2,412.0,3774.0,4186.0
78,8.72,412.0,1704.0,2116.0,,1021.07,626.0,1622.0,2248.0,,1020.47,692.0,4034.0,4726.0,,6.89,412.0,3886.0,4298.0,,8.07,2004.0,2327.0,4331.0
79,8.88,412.0,1703.0,2115.0,,7.47,412.0,1622.0,2034.0,,15.86,667.0,3968.0,4635.0,,6.89,412.0,3886.0,4298.0,,4.69,412.0,3774.0,4186.0
80,8.92,412.0,1703.0,2115.0,,1056.32,626.0,1623.0,2249.0,,16.16,412.0,3969.0,4381.0,,8.04,346.0,3887.0,4233.0,,4.47,412.0,3773.0,4185.0
81,1221.26,626.0,1704.0,2330.0,,6.54,346.0,1621.0,1967.0,,1026.71,692.0,4034.0,4726.0,,1068.57,692.0,3953.0,4645.0,,5.09,412.0,3773.0,4185.0
82,1065.61,626.0,1704.0,2330.0,,5.6,412.0,1621.0,2033.0,,19.94,2004.0,2520.0,4524.0,,6.67,412.0,3886.0,4298.0,,4.81,412.0,3775.0,4187.0
83,8.84,412.0,1704.0,2116.0,,6.83,412.0,1622.0,2034.0,,24.54,745.0,3967.0,4712.0,,7.72,412.0,3886.0,4298.0,,4.69,412.0,3775.0,4187.0
84,9.01,412.0,1704.0,2116.0,,5.74,412.0,1622.0,2034.0,,1070.82,692.0,4033.0,4725.0,,7.06,412.0,3885.0,4297.0,,4.62,412.0,3774.0,4186.0
85,8.86,346.0,1703.0,2049.0,,5.83,412.0,1622.0,2034.0,,17.03,412.0,3967.0,4379.0,,6.74,412.0,3886.0,4298.0,,217.25,2748.0,1818.0,4566.0
86,9.02,412.0,1704.0,2116.0,,5.76,412.0,1622.0,2034.0,,1246.2,692.0,4035.0,4727.0,,1070.53,692.0,3952.0,4644.0,,4.84,412.0,3774.0,4186.0
87,8.76,412.0,1704.0,2116.0,,8.01,346.0,1622.0,1968.0,,17.73,412.0,3968.0,4380.0,,1013.14,552.0,3953.0,4505.0,,1031.81,692.0,3840.0,4532.0
88,8.66,412.0,1704.0,2116.0,,6.14,412.0,1622.0,2034.0,,17.67,412.0,3968.0,4380.0,,6.88,412.0,3886.0,4298.0,,4.96,412.0,3773.0,4185.0
89,1029.79,626.0,1705.0,2331.0,,6.33,412.0,1622.0,2034.0,,17.57,412.0,3968.0,4380.0,,6.83,346.0,3886.0,4232.0,,4.67,412.0,3774.0,4186.0
90,9.05,412.0,1703.0,2115.0,,5.79,412.0,1621.0,2033.0,,18.6,412.0,3967.0,4379.0,,6.76,412.0,3886.0,4298.0,,4.53,412.0,3775.0,4187.0
91,11.09,412.0,1705.0,2117.0,,1024.26,626.0,1622.0,2248.0,,17.74,412.0,3967.0,4379.0,,6.71,412.0,3886.0,4298.0,,4.6,412.0,3773.0,4185.0
92,11.98,412.0,1704.0,2116.0,,5.42,412.0,1621.0,2033.0,,1055.26,692.0,4034.0,4726.0,,215.47,2004.0,2437.0,4441.0,,7.66,412.0,3774.0,4186.0
93,8.75,412.0,1704.0,2116.0,,5.46,412.0,1621.0,2033.0,,16.95,412.0,3969.0,4381.0,,12.2,2004.0,2439.0,4443.0,,5.25,412.0,3773.0,4185.0
94,8.81,412.0,1705.0,2117.0,,5.64,412.0,1621.0,2033.0,,16.48,412.0,3968.0,4380.0,,6.66,412.0,3886.0,4298.0,,4.9,412.0,3774.0,4186.0
