Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
83,1032.16,626.0,1702.0,2328.0,,5.59,412.0,1621.0,2033.0,,18.56,745.0,3965.0,4710.0,,8.19,704.0,3884.0,4588.0,,8.86,2004.0,2324.0,4328.0
84,1013.05,626.0,1703.0,2329.0,,5.81,412.0,1619.0,2031.0,,17.57,745.0,3967.0,4712.0,,7.39,346.0,3885.0,4231.0,,1043.0,692.0,3838.0,4530.0
85,215.63,412.0,1701.0,2113.0,,1214.25,626.0,1619.0,2245.0,,1492.71,692.0,4032.0,4724.0,,6.83,346.0,3884.0,4230.0,,4.89,412.0,3773.0,4185.0
86,1245.61,626.0,1702.0,2328.0,,5.41,412.0,1621.0,2033.0,,1244.85,2078.0,2519.0,4597.0,,6.67,346.0,3883.0,4229.0,,4.76,412.0,3772.0,4184.0
87,5673.12,560.0,1702.0,2262.0,,5.47,346.0,1620.0,1966.0,,16.47,412.0,3966.0,4378.0,,1051.46,626.0,3950.0,4576.0,,219.14,2004.0,2324.0,4328.0
88,10.85,412.0,1701.0,2113.0,,1030.11,626.0,1620.0,2246.0,,1039.18,692.0,4031.0,4723.0,,9.53,2004.0,2437.0,4441.0,,4.96,412.0,3771.0,4183.0
89,1054.36,626.0,1703.0,2329.0,,5.37,346.0,1619.0,1965.0,,1077.01,692.0,4032.0,4724.0,,6.22,412.0,3884.0,4296.0,,4.95,412.0,3772.0,4184.0
90,10.0,412.0,1702.0,2114.0,,210.99,412.0,1620.0,2032.0,,1275.73,692.0,4032.0,4724.0,,10.05,2004.0,2435.0,4439.0,,5.18,412.0,3771.0,4183.0
91,10.26,412.0,1703.0,2115.0,,1026.21,626.0,1619.0,2245.0,,20.23,2004.0,2517.0,4521.0,,6.39,412.0,3884.0,4296.0,,5.2,412.0,3773.0,4185.0
92,10.09,346.0,1701.0,2047.0,,1013.62,486.0,1620.0,2106.0,,17.61,412.0,3966.0,4378.0,,10.23,2004.0,2436.0,4440.0,,1007.0,692.0,3838.0,4530.0
